tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	status	FPKM	FPKM_conf_lo	FPKM_conf_hi
ENSMUSG00000090025	-	-	ENSMUSG00000090025	-	-	1:3044313-3044814	-	-	OK	0	0	0
ENSMUSG00000064842	-	-	ENSMUSG00000064842	-	-	1:3092096-3092206	-	-	OK	0	0	0
ENSMUSG00000089420	-	-	ENSMUSG00000089420	-	-	1:3773817-3773879	-	-	OK	0	0	0
ENSMUSG00000088390	-	-	ENSMUSG00000088390	-	-	1:3668960-3669024	-	-	OK	0	0	0
ENSMUSG00000064376	-	-	ENSMUSG00000064376	-	-	1:4519097-4519204	-	-	OK	0	0	0
ENSMUSG00000025900	-	-	ENSMUSG00000025900	-	-	1:4334223-4350473	-	-	OK	0	0	0
ENSMUSG00000051951	-	-	ENSMUSG00000051951	-	-	1:3204562-3661579	-	-	OK	0.0390569	0.018888	0.0592258
ENSMUSG00000089699	-	-	ENSMUSG00000089699	-	-	1:3456667-3503634	-	-	OK	0	0	0
ENSMUSG00000088000	-	-	ENSMUSG00000088000	-	-	1:4713357-4713460	-	-	OK	0	0	0
ENSMUSG00000025902	-	-	ENSMUSG00000025902	-	-	1:4481008-4486494	-	-	OK	0.0042254	0	0.0133745
ENSMUSG00000033845	-	-	ENSMUSG00000033845	-	-	1:4763286-4775820	-	-	OK	11.8229	11.1176	12.5282
ENSMUSG00000025903	-	-	ENSMUSG00000025903	-	-	1:4797903-4836820	-	-	OK	32.0546	29.3923	34.717
ENSMUSG00000033813	-	-	ENSMUSG00000033813	-	-	1:4847774-4887987	-	-	OK	19.5262	17.4685	21.5839
ENSMUSG00000062588	-	-	ENSMUSG00000062588	-	-	1:4869282-4870750	-	-	OK	11.6283	11.0543	12.2022
ENSMUSG00000002459	-	-	ENSMUSG00000002459	-	-	1:4899656-5060366	-	-	OK	4.50592	3.85095	5.16088
ENSMUSG00000091305	-	-	ENSMUSG00000091305	-	-	1:4917108-4917380	-	-	OK	0	0	0
ENSMUSG00000085623	-	-	ENSMUSG00000085623	-	-	1:4960937-4966901	-	-	OK	0	0	0
ENSMUSG00000091665	-	-	ENSMUSG00000091665	-	-	1:5053140-5054728	-	-	OK	0.0323286	0.00341303	0.0612442
ENSMUSG00000025905	-	-	ENSMUSG00000025905	-	-	1:5578573-5596212	-	-	OK	0	0	0
ENSMUSG00000033774	-	-	ENSMUSG00000033774	-	-	1:5903787-5907479	-	-	OK	0.00768132	0	0.0165509
ENSMUSG00000033793	-	-	ENSMUSG00000033793	-	-	1:5073253-5152630	-	-	OK	141.07	139.383	142.758
ENSMUSG00000087247	-	-	ENSMUSG00000087247	-	-	1:6349536-6384812	-	-	OK	0	0	0
ENSMUSG00000033740	-	-	ENSMUSG00000033740	-	-	1:6477311-6851021	-	-	OK	0.0197832	0.00371009	0.0358562
ENSMUSG00000025907	-	-	ENSMUSG00000025907	-	-	1:6196277-6266729	-	-	OK	13.9702	13.3874	14.5529
ENSMUSG00000073741	-	-	ENSMUSG00000073741	-	-	1:6204692-6205373	-	-	OK	0.0962579	0.0110008	0.181515
ENSMUSG00000090031	-	-	ENSMUSG00000090031	-	-	1:6203373-6204671	-	-	OK	0	0	0
ENSMUSG00000048538	-	-	ENSMUSG00000048538	-	-	1:7167819-7169118	-	-	OK	12.8252	12.1774	13.4729
ENSMUSG00000086461	-	-	ENSMUSG00000086461	-	-	1:7339486-7387882	-	-	OK	0.0362401	0	0.0724802
ENSMUSG00000077244	-	-	ENSMUSG00000077244	-	-	1:7255883-7256013	-	-	OK	0	0	0
ENSMUSG00000051285	-	-	ENSMUSG00000051285	-	-	1:7079000-7163707	-	-	OK	19.8893	17.8514	21.9272
