tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	status	FPKM	FPKM_conf_lo	FPKM_conf_hi
ENSMUSG00000090025	-	-	ENSMUSG00000090025	-	-	1:3044313-3044814	-	-	OK	0	0	0
ENSMUSG00000064842	-	-	ENSMUSG00000064842	-	-	1:3092096-3092206	-	-	OK	0	0	0
ENSMUSG00000088390	-	-	ENSMUSG00000088390	-	-	1:3668960-3669024	-	-	OK	0	0	0
ENSMUSG00000089420	-	-	ENSMUSG00000089420	-	-	1:3773817-3773879	-	-	OK	0	0	0
ENSMUSG00000051951	-	-	ENSMUSG00000051951	-	-	1:3204562-3661579	-	-	OK	0	0	0
ENSMUSG00000089699	-	-	ENSMUSG00000089699	-	-	1:3456667-3503634	-	-	OK	0	0	0
ENSMUSG00000064376	-	-	ENSMUSG00000064376	-	-	1:4519097-4519204	-	-	OK	0	0	0
ENSMUSG00000088000	-	-	ENSMUSG00000088000	-	-	1:4713357-4713460	-	-	OK	0	0	0
ENSMUSG00000025900	-	-	ENSMUSG00000025900	-	-	1:4334223-4350473	-	-	OK	0.45876	0.31054	0.60698
ENSMUSG00000025902	-	-	ENSMUSG00000025902	-	-	1:4481008-4486494	-	-	OK	4.01515	3.5469	4.4834
ENSMUSG00000033845	-	-	ENSMUSG00000033845	-	-	1:4763286-4775820	-	-	OK	4.26021	4.0287	4.49172
ENSMUSG00000002459	-	-	ENSMUSG00000002459	-	-	1:4899656-5060366	-	-	OK	0	0	0
ENSMUSG00000091305	-	-	ENSMUSG00000091305	-	-	1:4917108-4917380	-	-	OK	0	0	0
ENSMUSG00000085623	-	-	ENSMUSG00000085623	-	-	1:4960937-4966901	-	-	OK	0	0	0
ENSMUSG00000091665	-	-	ENSMUSG00000091665	-	-	1:5053140-5054728	-	-	OK	0	0	0
ENSMUSG00000033813	-	-	ENSMUSG00000033813	-	-	1:4847774-4887987	-	-	OK	4.67853	3.85301	5.50405
ENSMUSG00000062588	-	-	ENSMUSG00000062588	-	-	1:4869282-4870750	-	-	OK	1.56567	1.32263	1.80871
ENSMUSG00000025903	-	-	ENSMUSG00000025903	-	-	1:4797903-4836820	-	-	OK	23.7005	20.6548	26.7463
ENSMUSG00000033774	-	-	ENSMUSG00000033774	-	-	1:5903787-5907479	-	-	OK	0	0	0
ENSMUSG00000025905	-	-	ENSMUSG00000025905	-	-	1:5578573-5596212	-	-	OK	0	0	0
ENSMUSG00000033793	-	-	ENSMUSG00000033793	-	-	1:5073253-5152630	-	-	OK	50.3595	49.196	51.523
ENSMUSG00000087247	-	-	ENSMUSG00000087247	-	-	1:6349536-6384812	-	-	OK	0.0226499	0	0.0679497
ENSMUSG00000033740	-	-	ENSMUSG00000033740	-	-	1:6477311-6851021	-	-	LOWDATA	0.0268925	0	0.452922
ENSMUSG00000077244	-	-	ENSMUSG00000077244	-	-	1:7255883-7256013	-	-	OK	0	0	0
ENSMUSG00000048538	-	-	ENSMUSG00000048538	-	-	1:7167819-7169118	-	-	OK	10.0329	9.3717	10.6941
ENSMUSG00000086461	-	-	ENSMUSG00000086461	-	-	1:7339486-7387882	-	-	OK	0.180996	0.0875302	0.274462
ENSMUSG00000051285	-	-	ENSMUSG00000051285	-	-	1:7079000-7163707	-	-	OK	0.852823	0.381164	1.32448
ENSMUSG00000065625	-	-	ENSMUSG00000065625	-	-	1:9448750-9448853	-	-	OK	0	0	0
ENSMUSG00000061024	-	-	ENSMUSG00000061024	-	-	1:9535488-9537535	-	-	OK	7.50159	7.06127	7.94191
ENSMUSG00000025909	-	-	ENSMUSG00000025909	-	-	1:8351555-9289319	-	-	OK	0.386602	0.265043	0.508162
