tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	status	FPKM	FPKM_conf_lo	FPKM_conf_hi
ENSMUSG00000064842	-	-	ENSMUSG00000064842	-	-	1:3092096-3092206	-	-	OK	0	0	0
ENSMUSG00000090025	-	-	ENSMUSG00000090025	-	-	1:3044313-3044814	-	-	OK	0.0413408	0	0.124022
ENSMUSG00000089420	-	-	ENSMUSG00000089420	-	-	1:3773817-3773879	-	-	OK	0	0	0
ENSMUSG00000051951	-	-	ENSMUSG00000051951	-	-	1:3204562-3661579	-	-	OK	0	0	0
ENSMUSG00000089699	-	-	ENSMUSG00000089699	-	-	1:3456667-3503634	-	-	OK	0	0	0
ENSMUSG00000088390	-	-	ENSMUSG00000088390	-	-	1:3668960-3669024	-	-	OK	0	0	0
ENSMUSG00000064376	-	-	ENSMUSG00000064376	-	-	1:4519097-4519204	-	-	OK	0	0	0
ENSMUSG00000025902	-	-	ENSMUSG00000025902	-	-	1:4481008-4486494	-	-	OK	0.0188942	0	0.0470712
ENSMUSG00000025900	-	-	ENSMUSG00000025900	-	-	1:4334223-4350473	-	-	OK	0.0164483	0.00280626	0.0300904
ENSMUSG00000088000	-	-	ENSMUSG00000088000	-	-	1:4713357-4713460	-	-	OK	0	0	0
ENSMUSG00000033845	-	-	ENSMUSG00000033845	-	-	1:4763286-4775820	-	-	OK	1.16456	1.02496	1.30416
ENSMUSG00000025903	-	-	ENSMUSG00000025903	-	-	1:4797903-4836820	-	-	OK	35.1905	31.4544	38.9265
ENSMUSG00000002459	-	-	ENSMUSG00000002459	-	-	1:4899656-5060366	-	-	OK	0.0618585	0	0.132135
ENSMUSG00000091305	-	-	ENSMUSG00000091305	-	-	1:4917108-4917380	-	-	OK	0	0	0
ENSMUSG00000085623	-	-	ENSMUSG00000085623	-	-	1:4960937-4966901	-	-	OK	0	0	0
ENSMUSG00000091665	-	-	ENSMUSG00000091665	-	-	1:5053140-5054728	-	-	OK	0	0	0
